1391			102
400	
	495
30488	14410	1
13238	1443	1
5066	145	1
33074	146	1
17629	146.54	1
24121	146.8	1
29921	14720	1
29662	147573	2
5069	148	4
28054	1480	2
31094	1488	1
8820	149	2
9113	1494.535	1
1943	15	107
25993	15.2	3
13247	15.3	1
1648	150	22
12759	1500	11
19141	15000	1
13515	15003	1
4113	152	1
26041	1521	1
25355	153	2
30439	15335	1
15177	1539	1
28106	154	2
25241	1540	1
14016	15489	1
22042	155	1
19862	1553	2
29882	15569	1
22055	156	1
32529	1563	1
12521	157.53	1
13208	158	2
27089	1584	1
13144	15903	1
6883	1595	1
3128	16	67
12821	16.1	1
19103	16.6	1
13525	16.7	1
25623	160	5
11434	1600	3
13523	1618	3
9204	163.68	1
13304	164	1
13324	16406	1
9906	1647	1
28075	1649	2
9426	165	3
16274	1651	3
13531	1655	2
9427	166	1
19917	166.163	1
29666	166403	2
28046	1669	2
11140	167	1
25541	167.5	1
9217	167.8	1
30506	1680	1
25998	1686	1
5029	169	4
9213	16962	1
2635	17	62
13345	17.07	1
14092	17.2	1
10648	17.4	1
28115	17.5	2
15693	17.8	5
15920	170	3
12074	1700	8
5014	171	2
27321	1710	1
29844	1715.82	1
24183	172	1
13131	1726	1
20258	17410	1
1366	175	1
13549	1750	3
26773	1753	1
17396	176	2
9078	17635	1
30600	17783102705	1
6857	178	1
12806	1786	5
23302	1789	1
28062	179	3
23315	1793	1
2098	18	92
7444	18.2	4
7285	18.25	1
19161	18.5	1
32366	18.76	1
12511	18.82	2
19159	18.9	1
25028	180	8
10136	1800	3
23414	1801	1
24523	181	2
9085	182.2	1
25823	1829	1
20478	1830	1
27356	184	1
16314	1840	1
23348	1841	1
27613	18442	1
13486	1846	3
15329	1855	2
23336	1857	1
27581	18605	1
23370	1861	1
23372	1865	1
7218	187	2
20774	188.46	1
16262	189	1
20307	1892	1
2790	19	63
8640	19.27	1
9097	19.3	1
28379	19.46	2
28105	19.6	2
7298	19.74	1
7397	19.75	1
6791	190	1
10840	1900	7
13399	1909	1
13458	1910	1
13459	1916	1
17575	192	2
30424	1920	1
30477	1924	1
24080	1932	1
23342	1933	1
20492	19345	1
9132	19385	1
1119	1940	1
4941	1942	1
24430	1948	1
16469	195	3
28296	1950	2
28295	1951	1
14637	1952	4
28297	1953	2
14138	1954	3
14759	1955	2
2306	1956	2
22701	1958	2
29700	1959	1
6355	196	1
29656	1960	2
23389	1961	1
14130	1962	2
10461	1963	2
19483	1964	3
13088	1965	4
3944	1966	3
24496	1967	2
13470	1968	1
29569	1968.09	1
17346	1969	2
14109	1970	3
29090	1971	2
17378	1972	1
14631	1973	1
22363	1974	1
29572	1974.09	1
8211	1975	3
22361	1977	2
29554	1977.09	1
6486	1978	4
8726	1978.03	2
29523	1978.10	1
14143	1979	3
26085	198	1
14701	1980	8
8723	1980.03	2
13062	1981	6
19452	1982	4
29513	1982.07	1
29510	1982.09	1
4831	1983	2
29561	1983.07	1
29574	1983.12	1
20210	1984	7
29597	1984.04	1
8753	1984.07	3
4830	1985	6
29492	1985.04	1
29499	1985.09	1
14534	1986	5
14622	1987	7
29568	1987.01	1
29506	1987.09	1
11239	1988	3
29540	1988.03	1
29583	1988.12	1
8241	1989	6
8741	1989.03	2
29514	1989.05	1
19470	1990	6
29601	1990.06	1
29533	1990.09	1
19469	1991	5
29493	1991.07	1
29518	1991.12	1
5936	1992	7
29528	1992.04	1
8724	1992.11	2
29495	1992.12	1
6653	1993	6
29556	1993.01	1
8725	1993.03	2
29552	1993.09	1
29521	1993.10	1
29594	1993.12	1
10946	1994	12
29599	1994.09	1
29550	1994.10	1
17638	1995	8
29529	1995.02	1
29565	1995.04	1
29611	1995.05	1
29613	1995.07	1
29537	1995.09	1
8729	1995.12	2
8899	1996	10
8728	1996.03	3
29498	1996.04	1
29516	1996.05	1
29500	1996.06	1
21171	1996.12	1
2685	1997	6
7352	1998	7
8752	1998.01	2
21214	1998.02	2
29589	1998.04	1
8747	1998.07	3
6895	1999	10
29494	1999.09	1
21170	1999.12	2
191	2	244
3610	2.	3
2173	2.0	2
18563	2.08	1
12857	2.1	1
19851	2.11	1
7582	2.17	2
12843	2.21	3
22576	2.25	2
31083	2.26	1
7803	2.3	9
19882	2.32	1
18465	2.38	1
10650	2.4	4
13545	2.45	1
19897	2.46	1
12921	2.47	1
8337	2.5	9
4832	2.55	5
27710	2.58	1
18106	2.6	7
22454	2.7	4
23199	2.74	1
12496	2.75	2
257	2.8	5
27692	2.84	1
12019	2.9	8
13536	2.92	1
571	20	236
19123	20.0	1
19124	20.1	2
29369	20.2	1
12031	20.3	1
27383	20.5	1
12792	20.62	1
14003	20.8	1
222	200	50
3701	2000	52
21166	2000.07	1
9176	20000	2
2698	2001	22
29584	2001.10	1
440	2002	15
21186	2002.01	1
8720	2002.05	3
21189	2002.09	1
29581	2002.10	1
21206	2002.11	1
7669	2003	18
8754	2003.03	2
21117	2003.07	2
21116	2003.09	2
4881	2004	22
29512	2004.04	1
29543	2004.11	1
1688	2005	18
29491	2005.01	1
5809	2006	26
21124	2006.04	1
7670	2007	25
21158	2007.01	1
29508	2007.08	1
1689	2008	33
21169	2008.02	1
21168	2008.03	1
4882	2009	30
8733	2009.03	2
29604	2009.11	1
2487	2010	26
29586	2010.01	1
29585	2010.03	1
4946	2011	30
29590	2011.02	1
4571	2012	40
2584	2013	69
21197	2013.02	1
29505	2013.03	1
8749	2013.04	2
29503	2013.05	1
29527	2013.11	1
574	2014	57
2485	2015	108
29542	2015.3	1
8002	2016	180
32578	2016.11.23	1
29566	2016.12	1
10476	2017	127
21102	2017.02	1
29931	201772	1
12820	2018	13
844	2019	6
638	2020	34
12863	2021	5
11819	2022	2
8106	2025	6
13512	203	1
2700	2030	9
32890	2033	1
3408	204	1
32907	2045	1
29386	20480	1
15142	205	3
17707	205.64	1
9416	2050	4
187	2052	1
6935	206	2
23537	2066.7	1
18217	207	1
21757	20755	1
1703	21	59
18793	21.3	1
8627	210	5
22376	2100	1
15534	211	2
32893	2117	1
27607	21548	1
29391	21600	1
13142	217	1
11675	2172.9	1
31401	218.5	1
13547	2182	1
27097	2188	1
952	22	55
28044	22.1	2
17673	22.12	1
9086	22.16	1
19112	22.3	1
12470	22.6	1
17822	22.7	1
19116	22.9	1
11937	220	5
29671	221	1
12665	2216	1
8865	223.5	1
20479	2230	1
8880	224.3	1
9375	2240	1
17881	225	3
11254	226	1
8824	227	4
15443	2270	3
9121	2276	1
19935	228	1
20290	229	1
1513	23	92
10616	23.4	2
12020	23.6	2
11614	230	3
4597	2300	5
28650	2302	1
13518	23086	1
24210	231	1
96	232	1
10697	2320	1
15415	2321	3
10076	233.8	1
4419	235	2
32509	236	1
15176	2370	1
15323	239	2
20783	239.97	1
123	24	96
29401	24.15	1
13346	24.43	1
17617	24.5	2
28037	24.9	2
6823	240	8
22062	2400	1
9107	2408	1
11025	241	1
25811	2428	1
8048	245	1
29395	24612	1
15140	2465	1
9120	247	1
2174	25	75
18121	25.03	1
18061	25.1	2
12046	25.5	3
13347	25.85	1
9307	250	6
11628	2500	5
28026	2509	2
12492	253.49	1
16941	2535	1
9352	256.1	1
29942	25832	1
29945	259978	1
950	26	150
9898	26.09	1
7542	26.27	1
17640	26.3	1
19109	26.5	2
30914	26.64	1
13407	260	5
9388	2600	2
5123	261	1
13251	2635	1
15679	265	1
19860	266	1
13219	26670	1
2175	27	49
29881	27.2	1
14735	27.33	1
19132	27.4	1
3282	27.9	1
7727	270	2
31340	272431	1
20873	274	1
7335	2749.76	1
30901	277	1
1235	28	59
19155	28.4	1
19105	28.7	1
3197	280	2
27536	28056	1
15024	281	3
3113	28104	1
30464	2812	1
25489	2834	1
9218	28483	1
26317	28500	1
13439	286.1	1
28025	287	3
27615	2870	2
29646	288826	2
22872	289	1
1182	29	25
25999	29.1	1
19178	29.5	1
16312	2900	2
13351	291	1
11443	2924	2
261	3	406
3687	3.	3
19890	3.06	1
28056	3.1	2
23523	3.12	1
17222	3.17	1
15040	3.2	3
31333	3.25	1
10736	3.38	1
10832	3.4	3
24070	3.44	2
7365	3.48	2
9393	3.5	2
31133	3.53	1
9084	3.6	3
8649	3.60	1
23904	3.65	1
27723	3.67	1
17636	3.69	1
8795	3.7	3
27129	3.73	1
27130	3.75	1
15123	3.8	2
20894	3.81	1
8340	3.88	1
8805	3.9	1
510	30	133
15622	30.4	1
15180	30.6	3
30371	30.9	1
381	300	38
4967	3000	30
16850	300003	1
16833	300016	1
16829	300558	1
16858	300573	1
16861	300601	1
13270	301	2
30835	302	2
30534	30235	2
8046	305	1
28063	308	2
509	31	45
8661	31.05	1
15205	31.3	3
12051	31.8	1
15208	31.9	3
2439	310	3
1373	313131	100
30527	31371	2
22401	31600	1
15033	319	1
14262	32	8
12516	32.29	2
19140	32.4	1
14047	32.46	1
9137	32.6	1
7447	32.67	1
13218	3206	1
15659	322	1
22870	323	1
9116	3230	1
26039	325	1
8602	326	1
2959	329	1
4999	33	17
15178	33.0	3
17593	33.2	1
30848	33.5	1
15116	330	1
25476	3300	1
20328	335	1
25783	3360	1
7417	337.72	1
12048	3373	1
30351	338	2
30522	3382	2
16868	339	1
5884	34	15
2757	34.6	3
18258	340	4
2844	341	1
12983	3412261965	1
31437	344	2
6392	35	21
12505	35.04	2
30925	35.36	1
19094	35.5	1
20358	35.9	1
3704	350	5
393	3500	8
29857	3510	1
8838	353	2
29934	35433	1
13350	355	1
24544	356	1
8657	35678	1
4437	357.9	1
511	36	25
30924	36.61	1
14742	36.7	2
7466	36.88	2
5862	360	3
905	3605	1
25810	361	1
2538	365	3
13187	3662	1
12494	367.88	1
29941	369131	1
6391	37	12
33287	37.4	1
19099	37.6	1
19100	37.7	1
19095	37.8	1
13966	37.9	1
31521	370.6415	1
16254	3700	2
15345	371	2
20458	3718	1
9138	375	1
8830	38	9
14082	38.1	1
30880	38.76	1
29919	38.9	1
10812	380	5
29918	38447	1
19262	3866	1
4996	39	10
15042	399	2
13283	399708	1
454	4	198
20305	4.	1
8006	4.01	1
10796	4.02	4
11890	4.1	4
31307	4.11	1
28126	4.147	2
31311	4.16	1
13343	4.19	1
23818	4.2	1
30681	4.21	1
8031	4.25	1
9441	4.3	1
9131	4.315	1
7656	4.4	6
8117	4.5	12
31317	4.59	1
28113	4.6	3
30679	4.63	1
32516	4.7	1
3111	4.8	2
7607	4.89	2
19177	4.9	1
28667	4.98	1
1958	40	59
7903	40.7	1
5799	400	21
5752	4000	16
1913	4008000088	1
30856	4014	1
12026	402.6	1
19848	404	2
20473	4050	1
18927	408	1
9899	409	1
9088	41	8
19150	41.3	1
7762	41.69	1
7347	41.7	1
13031	4101251965	1
13551	41428	1
2803	42	9
19133	42.0	1
19134	42.1	1
17770	42.3	2
19131	42.9	1
11982	420	9
15047	421	2
10888	424	1
8302	4250	1
27342	4272	1
9216	43	13
7509	43.02	2
25433	4300	1
26047	4335	1
9438	43586	1
9436	4368	1
7660	44	9
30919	44.12	1
17764	44.2	2
18019	44.8	1
15701	444	2
13190	449	1
7477	4490.71	1
811	45	36
19107	45.3	1
9295	450	6
7395	4500	2
14800	452	1
13160	4562	1
7424	4589.76	1
7257	46	11
17766	46.2	2
25785	46.6	1
19174	46.7	1
14090	46.98	1
16131	460	2
11136	462	3
15168	46397	1
19929	465	2
27447	4692	1
26356	4699	1
9261	47	5
24064	47.1	2
13339	47.11	1
7722	47.39	1
12012	47.5	1
4174	47.6	2
9444	47.60	1
19169	47.9	1
31158	470	1
19985	474	2
5083	477	1
2696	48	13
17755	48.5	1
23045	481	1
15666	485	1
11861	4894.2	1
4866	49	13
27139	49.3	1
30882	49.81	1
12966	49.95	1
25794	497	1
455	5	252
20251	5.	1
32143	5.19	1
20780	5.2	1
15875	5.3	1
7959	5.4	1
31522	5.5	1
18380	5.6	3
16912	5.7	3
12949	5.86	2
20367	5.9	1
30907	5.96	1
766	50	79
712	500	44
502	5000	25
10338	50000	2
12729	5014	1
8631	5032	1
18424	5076	1
28960	508	1
3246	51	7
17760	51.0	2
29451	51.4	1
18377	51.6	1
4167	51.7	1
30884	51.83	1
16634	51.9	1
13214	5109	1
33042	5166	2
24691	5169	1
18222	5196	1
2856	52	12
19093	52.1	1
19092	52.2	1
15683	52.53	1
16692	52.83	1
8791	52.9	4
23539	520	1
13766	5200	1
9905	52165216	1
31676	522	1
13880	523	4
28084	5239	2
7137	524.482	1
919	529.5	1
4792	53	5
30885	53.1	1
14080	53.3	2
541	53.7	1
23862	537	2
4961	54	6
7344	54.4960	1
29487	54.5	1
16821	540	3
13211	547	3
13213	5474	1
8937	55	17
91	550	8
854	5515	1
9224	55619	1
25060	5577	1
7591	56	6
12886	56.1	2
18640	56.2	1
280	56.5	1
13212	560	1
23052	564	1
15150	5673	1
23144	568	1
9385	57	10
17776	57.0	2
13522	57.35	1
30911	57.43	1
30910	57.44	1
15850	57.9	1
8630	570	1
14598	5700	3
17930	57000	1
14799	572	1
15590	573	1
9236	5760	1
13603	5769	4
4960	58	3
2544	581	1
28022	5827	2
13883	583	3
28065	588	2
13513	58973	1
4151	59	7
19153	59.4	1
14027	59.9	1
25043	5929.95	1
8628	596	1
23530	59788	1
30967	59881010	1
524	6	277
20281	6.	1
30886	6.07	1
30646	6.1	1
31346	6.15	1
7850	6.3	5
11301	6.5	15
17550	6.6	2
11351	6.7	13
31345	6.70	1
9405	6.71	1
11910	6.8	2
15873	6.9	3
704	60	57
14111	60.3	1
29353	60.65	1
31135	60.88	1
2069	600	20
7486	6000	9
16837	600079	1
16847	600267	1
16820	600557	1
5641	601	1
16838	603858	1
25985	6053.4	1
15131	6064	1
20764	609	1
1239	61	5
17774	61.1	2
12510	61.47	2
13340	61.78	1
25337	6112	1
20340	612	1
12530	6124.54	1
3121	615	1
1364	62	112
29373	62.51	1
10931	6200	1
27893	623020	1
9258	62435	1
9283	6255	1
20279	628	1
4010	63	8
24621	63.5	1
20776	63.78	1
8236	64	7
27151	64.4	1
28523	640	1
7327	645	2
6785	65	13
30694	65.1	1
9429	65.12	1
17777	65.2	2
13528	65.6	1
18321	6500	1
13277	65076	1
11927	656	3
16447	66	2
15107	66.3	1
9080	664	1
2065	67	3
10837	6700	3
12018	673.8	1
28964	6730	1
13535	67456	1
29936	6778	1
6795	68	3
8632	68.5	1
30906	68.99	1
9459	680	2
27030	6877	1
20322	689	1
27143	69.0	1
16278	6900	1
30461	6955.70	1
1128	7	183
20310	7.	1
22863	7.0	2
13538	7.09	1
19096	7.1	1
9612	7.19	1
16456	7.3	1
19097	7.4	3
26349	7.5	4
27252	7.6	1
12517	7.61	2
10693	7.8	2
19098	7.9	1
29489	7.93	2
1411	70	143
23903	70.8	2
7387	70.89	2
13244	70.9	1
3625	700	15
10943	7000	7
25904	704	1
25819	7042	1
32099	707	1
13537	70815	1
24676	7086	1
8626	71	9
22084	71.49	1
13189	71476	1
28027	718	2
13249	7185	1
646	72	6
26490	72.4	2
10687	720000	1
17159	725	1
3954	73	9
31403	73.6	1
7779	73.98	1
25952	730	1
5976	74	10
17588	74.4	2
23775	74.83	1
20466	7415	1
25967	7420	1
30479	7454.30	1
14102	75	11
15091	75.2	1
7330	75.39	2
29663	75184	2
19974	76	3
23759	76.34	1
28440	76.4	2
830	760	1
29926	76734	1
11917	769	1
16300	77	8
13546	77603	1
1789	78	16
8641	78.26	2
9377	7800	1
32766	7810	2
6829	786	2
7472	79	4
13514	79298	1
29652	793	1
11379	795	5
77	8	254
20254	8.	1
7931	8.0	2
15687	8.1	3
11998	8.2	1
28441	8.4	3
18445	8.5	3
19137	8.7	1
8445	8.8	1
7539	8.9	8
590	80	55
28458	80.6	1
2165	800	20
15292	8000	10
3122	8004	1
23907	806	1
12975	809	2
4592	81	6
32349	81.11	1
8642	81.89	1
846	810	1
13257	814	1
31978	82	1
874	8200	1
9110	8222	1
181	82333333	1
30486	8272	1
9215	8284	1
7407	83	4
16475	83.1	1
22059	83.89	1
13785	8300	2
27476	832	1
3484	84	3
12345	8400	2
23332	8445	1
3124	846	2
4257	85	6
3658	850	2
17796	8500	1
12519	855.45	1
5844	86	4
28562	86.7	1
13622	8678	4
13659	87	4
28606	87.1	1
15317	87.6	2
9387	8700	1
16120	88	2
15087	885	1
16383	889	1
27576	8890	1
23528	89	2
9805	89.5	2
7554	8981.42	1
12547	8982.73	1
736	9	134
18801	9.1	2
11879	9.2	1
30904	9.41	1
10073	9.5	5
7287	9.51	2
16461	9.52	1
29405	9.6	1
31137	9.75	1
19146	9.8	1
16484	9.85	1
8811	9.9	2
3828	90	50
5190	900	6
14001	9000	6
9195	904	1
8827	9040	1
32232	905	1
13533	90747	1
7610	9075.56	1
25246	909	1
13630	91	6
27148	91.9	1
19924	9104	1
28954	9142	1
23545	9158	2
31526	916	1
23548	91605	1
13693	92	4
29943	92.8	1
9211	9200	1
26903	93	1
9089	93.4	2
9109	93.7	1
31438	933	2
2928	94	2
7465	94.14	1
27966	94.4	1
12495	9411.52	2
25537	9420	1
15104	943	1
13248	946	1
6434	95	14
27136	95.2	1
24600	95.3	3
27584	9543.54	1
27529	955	1
9904	96	5
9233	96.8	1
3123	97	4
10455	97.8	1
6765	97650	1
12892	977	2
2925	98	10
7795	98.75	1
28949	984	1
9391	985	3
18044	9854	2
16316	99	6
27347	99.84	1
22360	9900	3
8788	9914	1
9087	99532	1
15132	9976	1
12524	9980.81	1
456	:	464
1344	;	142
18092	<	3
1403	=	100
6263	>	5
991	?	85
1321	@	14
5386	A	10
30648	A350	1
11010	ABC	1
10964	ABC7News	1
8203	AH	1
26651	AK	1
25156	AMRO	1
23935	AN	1
25394	APEC	1
22394	APP	7
30115	ARJ	1
30116	ARJ21	1
23131	ATM	6
10774	AZO	1
32708	Aaron	1
31087	Aberle	1
33047	Action	2
23826	Advanced	1
23017	Agency	2
32849	Ah	2
1342	AlphaImageLoader	100
23944	Altitude	2
31920	Amaq	1
23532	Android	1
23557	App	1
23932	Area	2
31917	Ariana	1
8112	Attack	2
32974	Austin	3
8037	Available	2
16876	A股	4
5471	B	3
18133	BBC	4
20781	BHPI	1
30565	BJX112	1
32733	Berwick	1
23850	Boull	1
33191	Brian	1
32725	Brooks	1
2962	B超	2
5534	C	3
30076	C919	1
30088	CAAC	1
29766	CAST968	1
24999	CB	2
24997	CBA	5
27577	CBS	2
7183	CEO	5
21020	CEPA	1
32184	CGTN	1
25176	CMIM	1
22578	CNBC	2
22827	CNN	4
24043	CNNIC	1
15464	COC	1
28067	CPAC	1
11372	CPI	4
2930	CT	1
33167	Campus	1
32863	China	2
33053	Chinese	1
15286	Citi	1
23803	Claude	1
32759	Colm	1
33175	Community	1
23804	Concepts	1
10875	Construction	1
1580	Conti	1
22141	Control	2
23805	Crater	1
10302	D	7
6267	DIC	1
1063	DNA	3
15459	DOC	1
17637	DOME	1
16698	DONALD	2
21579	DRGs	2
20202	DTZ	1
1359	DXImageTransform	100
8011	Dedicated	2
23937	Defense	2
31091	Derek	1
11063	Development	1
33178	Deversity	1
33142	Diego	2
33035	Diversity	2
33177	Division	1
17158	Donald	1
31512	Dufresne	1
8130	E	6
30089	EASA	1
25422	EAVG	1
6213	EB	1
33174	ECJ	2
33061	ED1184	1
22302	EEZ	1
31976	EMS	1
27873	ETC	1
33149	East	1
32910	Economic	1
19309	Eisen	1
33173	Engagement	1
17162	Eric	1
33050	Ethical	1
23811	Etienne	1
23036	European	2
17923	Ewanka	1
6752	F20020038	1
6885	F80080038	1
30078	FAA	1
21816	FTA	1
11209	Facebook	1
10294	Fan	1
32886	Fellowes	1
33046	Fenves	2
32908	Financial	1
32899	Forum	1
33154	Furnald	1
5340	G	3
31233	G15	1
15392	G20	3
30402	G7	1
26569	GCF	1
11350	GDP	25
27571	GDP1	1
10763	GMP	2
12721	Gilt	2
842	Glamour	1
11107	Good	1
31930	Grande	1
33045	Greg	1
33180	Gregory	1
22546	Group	1
14532	H	2
13431	HACCP	1
31251	Heather	2
8034	Helicopter	2
33162	Henry	2
23929	High	4
8898	I	9
23639	ICP	1
9903	ID	6
27456	II	2
15094	III	3
30971	IMAY	1
23924	IMF	1
11836	IP	4
31928	IS	1
26939	IV	1
17882	IVANKA	1
10954	Inc	1
33054	Inclusion	2
32883	Income	1
22779	Instagram	1
10999	Intelligentqlothing	1
26554	IoT	1
17857	Ivanka	1
17883	Iwanka	1
17150	J	1
31562	JTBC	3
2154	Jl9308	1
23821	Jorge	1
32887	Journal	1
17143	Jr	1
10303	K	1
30988	K301	1
22853	KSB	2
17361	KTV	2
32747	Kearney	1
10296	Kim	1
31606	L	2
30651	LG	2
23485	LOGO	2
1652	La	1
22184	Learn	2
23836	Ledoux	1
31257	Lee	2
33029	Lessons	1
22545	Lotte	2
10917	Lotus	1
23833	Louis	1
31933	Love	1
17870	Lvanka	1
26588	M	1
15399	M2	2
30974	ME	1
32722	MG2340	1
25248	MH370	1
24124	MIM	1
19184	MPT	1
25145	MRO	1
30190	MU765	2
23808	Ma	1
31935	Manchester	1
30357	Margalef	1
22549	Mart	1
32872	Matt	1
26586	Mbps	1
28031	Medicare	1
1349	Microsoft	100
32695	Monash	1
22205	Myself	2
18083	N	1
2480	NAFTA	1
26615	NB	1
17877	NBA	6
27200	NBL	1
28050	NGA	1
27610	NSG	2
8062	Necessities	2
23798	Nicolas	1
32875	No	1
17865	Nordstrom	1
19280	Norman	1
30159	Number1	1
30157	Number2	1
30316	OPPO	1
31499	P	1
27954	P2P	2
23538	PC	1
11678	PM2	8
29463	PMI	1
12351	PPI	2
28147	PPP	2
20793	PPT	2
19296	Painter	1
33160	Patrick	2
10315	Paul	1
33038	Plan	2
32903	Planning	1
32859	Proud	2
17872	QIAODAN	1
7097	QQ	6
32140	R	1
9068	R44	1
31912	RAF	1
25284	RCEP	1
28091	RDT	2
24501	Rakuten	1
25353	ReCAAP	1
19281	Richard	1
31255	Robertson	2
1677	Roman	1
32758	Rorbert	1
23807	Rubio	1
30685	SBS	1
28119	SCO	2
15306	SDR	2
16898	SH	1
23753	SLBM	1
20130	SMG	2
30695	SNS	1
12755	SUV	2
16892	SZ	1
33164	San	2
33144	Schapiro	1
33145	School	2
28068	Security	1
22784	Serangkai	1
23835	Shackleton	1
31513	Shelley	1
32865	Shuping	1
28032	Social	1
13396	Soycheese	1
23019	Space	2
33056	Special	1
23577	Store	1
18125	T	1
23930	THAAD	3
22136	TIP	1
3145	TOP10	1
2499	TPP	5
23945	TPY	1
16714	TRUMP	4
1690	Tache	1
30374	TalkingData	1
23838	Team	1
23936	Terminal	2
32961	Texas	3
23034	The	2
22765	Tiga	1
11185	Top	1
17153	Tower	1
11051	Toyo	1
16711	Trump	3
5647	T恤	1
19302	U	2
32699	UT	4
32737	UTCSSA	4
33039	UTNews	1
6074	Uber	1
32873	United	1
32740	University	4
8103	Useful	2
15078	V	3
27921	VIP	1
26599	VoLTE	1
27198	WCBA	1
11328	WTO	5
33195	Watkins	1
27023	WiFi	2
32739	Wijeratne	1
11023	Work	1
32891	World	1
16189	X	3
32139	XX	3
24783	XXX	2
24797	XXXX	1
29884	Y	1
25033	YTN	2
30966	YY	1
32862	Yang	1
10290	Yangpu	1
8082	Yours	2
8118	Yuan	2
8098	Z	3
11215	Zillow	1
14676	[	16
14677	]	16
391	_	727
32706	____	1
1413	a	100
33051	about	1
1398	absolute	100
32832	ah	2
30071	airworthiness	1
1386	align	100
1412	alpha	100
33036	and	3
32752	anu	1
32982	at	3
1326	background	100
1397	border	100
1341	bottom	100
31342	btime007	1
1405	c4282b	100
1315	cache	100
32827	cal	3
30066	certificate	1
33049	class	1
16595	cleaning	2
16577	close	2
2909	cn	7
26106	cns2012	1
1360	color	100
1356	com	100
24447	computer	1
